employee_id,burnout_level,burnout_score,employee_feedback,clean_feedback,themes
75722,Moderate,5.1,"Over the past few months, There are periods when workload becomes difficult to manage. There are times when work-related pressure becomes noticeable.",over the few there are periods when workload becomes difficult to manage there are times when workrelated pressure becomes noticeable,"Workload, Stress"
80185,Low,0.8,"Recently, The team culture is collaborative and supportive. I feel motivated and engaged in my role.",the team culture is collaborative and supportive i feel motivated and engaged in my role,Management
19865,Low,2.3,"Lately, I am satisfied with my current responsibilities and workload. The projects I work on help me develop new skills and stay engaged.",i am satisfied with my current responsibilities and workload the projects i work on help me develop new skills and stay engaged,Workload
76700,Low,2.4,"Recently, I enjoy working with my colleagues and feel comfortable sharing ideas. Management creates an environment where employees feel supported.",i enjoy working with my colleagues and feel comfortable sharing ideas management creates an environment where employees feel supported,Management
92992,Moderate,3.9,"Over the past few months, I receive useful feedback that helps me improve my performance. Team members are willing to help each other when challenges arise.",over the few i receive useful feedback that helps me improve my performance team members are willing to help each other when challenges arise,Management
76435,Low,1.1,"In my current role, My work allows me to continuously improve my technical and professional skills. The flexibility offered by the organization helps me maintain a healthy routine.",in my current role my work allows me to continuously improve my technical and professional skills the flexibility offered by the organization helps me maintain a healthy routine,
84005,Severe,8.5,"Over time, Persistent stress is affecting both my motivation and wellbeing. I have noticed increasing signs of burnout over the past few months.",over time persistent stress is affecting both my motivation and wellbeing i have noticed increasing signs of burnout over the few,Stress
80918,Moderate,5.0,"Over time, Work responsibilities occasionally spill into personal time. There are times when work-related pressure becomes noticeable. The pace of work can become challenging during busy periods.",over time work responsibilities occasionally spill into personal time there are times when workrelated pressure becomes noticeable the pace of work can become challenging during busy periods,"Workload, Stress, Work-Life Balance"
60768,Severe,10.0,"In my current role, I frequently feel anxious about upcoming deadlines. Poor sleep is affecting my concentration and productivity. I have noticed increasing signs of burnout over the past few months.",in my current role i frequently feel anxious about upcoming deadlines poor sleep is affecting my concentration and productivity i have noticed increasing signs of burnout over the few,"Workload, Sleep, Stress"
50075,Severe,9.0,"Over the past few months, I often feel mentally exhausted by the end of the workday. The work feels less rewarding than it previously did. I frequently feel anxious about upcoming deadlines. Work responsibilities regularly extend into my personal time.",over the few i often feel mentally exhausted by the end of the workday the work feels less rewarding than it previously did i frequently feel anxious about upcoming deadlines work responsibilities regularly extend into my personal time,"Workload, Stress, Work-Life Balance"
